club_from,club_to,transfers
SC Freiburg,FC Schalke 04,1
1.FSV Mainz 05,Borussia Dortmund,3
VfB Stuttgart,Borussia Dortmund,4
Borussia Dortmund,1. FC Köln,4
Borussia Dortmund,FC St. Pauli,1
1.FC Nuremberg,TSG 1899 Hoffenheim,1
VfL Bochum,TSG 1899 Hoffenheim,7
TSG 1899 Hoffenheim,1. FC Köln,2
TSG 1899 Hoffenheim,Hamburger SV,1
TSG 1899 Hoffenheim,SC Freiburg,6
TSG 1899 Hoffenheim,Karlsruher SC,2
1. FC Köln,SV Werder Bremen,3
SV Werder Bremen,RB Leipzig,1
SV Werder Bremen,FC Schalke 04,1
VfL Bochum,1.FSV Mainz 05,3
Hamburger SV,1.FSV Mainz 05,4
FC St. Pauli,1.FSV Mainz 05,1
SC Freiburg,1.FSV Mainz 05,7
1.FSV Mainz 05,Hertha BSC,4
Hannover 96,1. FC Köln,7
1. FC Köln,1.FC Nuremberg,3
SC Freiburg,Hannover 96,3
RB Leipzig,VfB Stuttgart,1
VfB Stuttgart,Hamburger SV,6
VfB Stuttgart,1.FC Nuremberg,2
VfB Stuttgart,Hertha BSC,7
SC Freiburg,Hertha BSC,3
VfL Bochum,Hamburger SV,1
FC St. Pauli,Hamburger SV,1
Hamburger SV,Karlsruher SC,1
FC Schalke 04,FC Ingolstadt 04,2
Hertha BSC,SV Darmstadt 98,3
1.FSV Mainz 05,SV Darmstadt 98,1
VfB Stuttgart,SV Darmstadt 98,1
SV Darmstadt 98,1.FC Nuremberg,2
SV Darmstadt 98,1.FSV Mainz 05,1
SV Darmstadt 98,Hertha BSC,1
SV Darmstadt 98,1. FC Köln,2
Borussia Mönchengladbach,Hamburger SV,4
VfB Stuttgart,Bayer 04 Leverkusen,1
1.FC Nuremberg,FC Schalke 04,3
Borussia Dortmund,SC Freiburg,2
Hertha BSC,Eintracht Frankfurt,2
Eintracht Frankfurt,Karlsruher SC,2
Hamburger SV,1.FC Nuremberg,2
FC Schalke 04,SV Darmstadt 98,2
VfL Wolfsburg,Borussia Dortmund,2
Bayern Munich,Borussia Dortmund,4
Borussia Dortmund,VfL Wolfsburg,2
Borussia Dortmund,VfL Bochum,1
Karlsruher SC,Bayer 04 Leverkusen,1
Bayer 04 Leverkusen,SC Freiburg,1
Bayer 04 Leverkusen,RB Leipzig,2
Hamburger SV,Borussia Mönchengladbach,2
VfL Wolfsburg,FC Schalke 04,8
FC Schalke 04,1. FC Köln,6
FC Schalke 04,FC Augsburg,8
Hertha BSC,VfB Stuttgart,4
1. FC Köln,VfL Wolfsburg,6
Hamburger SV,1. FC Köln,3
1.FC Nuremberg,Hamburger SV,1
Hamburger SV,FC Augsburg,5
RB Leipzig,FC Ingolstadt 04,1
RB Leipzig,FC Augsburg,4
VfL Bochum,FC Augsburg,1
FC Augsburg,1.FC Nuremberg,2
Hamburger SV,SV Werder Bremen,2
SC Freiburg,SV Darmstadt 98,1
MSV Duisburg,SV Darmstadt 98,1
Hamburger SV,SV Darmstadt 98,1
SV Darmstadt 98,Hamburger SV,1
VfB Stuttgart,TSG 1899 Hoffenheim,3
Hamburger SV,TSG 1899 Hoffenheim,1
1. FC Köln,TSG 1899 Hoffenheim,2
Hannover 96,TSG 1899 Hoffenheim,4
TSG 1899 Hoffenheim,FC Augsburg,2
TSG 1899 Hoffenheim,VfB Stuttgart,4
Eintracht Frankfurt,Hamburger SV,2
VfL Bochum,SC Freiburg,1
VfB Stuttgart,SC Freiburg,3
SC Freiburg,FC St. Pauli,3
RB Leipzig,VfL Bochum,3
Bayern Munich,VfB Stuttgart,3
RB Leipzig,Bayer 04 Leverkusen,1
Bayer 04 Leverkusen,Hamburger SV,3
FC Schalke 04,Karlsruher SC,1
1.FSV Mainz 05,VfL Wolfsburg,6
VfL Wolfsburg,VfB Stuttgart,7
1. FC Köln,Hamburger SV,5
RB Leipzig,SV Darmstadt 98,1
Hannover 96,Eintracht Frankfurt,3
Eintracht Frankfurt,FC St. Pauli,3
SC Freiburg,Karlsruher SC,5
VfL Bochum,RB Leipzig,2
RB Leipzig,Hertha BSC,4
1. FC Köln,Borussia Dortmund,4
Bayern Munich,TSG 1899 Hoffenheim,3
TSG 1899 Hoffenheim,Bayern Munich,6
Hertha BSC,FC St. Pauli,2
Borussia Mönchengladbach,Hannover 96,1
Karlsruher SC,FC Schalke 04,1
FC Schalke 04,VfB Stuttgart,4
FC Schalke 04,VfL Bochum,2
VfB Stuttgart,MSV Duisburg,1
